time;P_int
0;1.8
60;0
120;0
180;0
240;0
300;0
360;0
420;0
480;0
540;0
600;0
660;0
720;0
780;0
840;0
900;0
960;0
1020;0
1080;0
1140;0
1200;0
1260;0
1320;0
1380;0
1440;0
1500;0
1560;0
1620;0
1680;0
1740;0
1800;0
1860;0
1920;0
1980;1.8
2040;0
2100;0
2160;0
2220;0
2280;0
2340;0
2400;0
2460;2.4
2520;0
2580;0
2640;0
2700;0
2760;0
2820;0
2880;0
2940;0
3000;0
3060;1.8
3120;0.6
3180;0
3240;0
3300;0
3360;0
3420;0
3480;0
3540;0
3600;0
3660;0
3720;0
3780;1.8
3840;0
3900;0
3960;0
4020;0
4080;0
4140;0
4200;0
4260;0
4320;0
4380;0
4440;0
4500;0
4560;0
4620;0
4680;2.4
4740;0
4800;0
4860;0
4920;0
4980;0
5040;0
5100;0
5160;1.8
5220;1.2
5280;0
5340;0
5400;0
5460;1.8
5520;1.2
5580;0
5640;0
5700;0
5760;0
5820;1.8
5880;0
5940;0
6000;0
6060;0
6120;2.4
6180;1.2
6240;3
6300;1.8
6360;0
6420;0
6480;1.8
6540;0.6
6600;0
6660;0
6720;0
6780;0
6840;0
6900;0
6960;1.8
7020;0.6
7080;0
7140;0
7200;0
7260;0
7320;0
7380;0
7440;1.8
7500;0.6
7560;0
7620;0
7680;0
7740;2.4
7800;1.2
7860;0
7920;3.6
7980;1.8
8040;1.8
8100;1.8
8160;1.2
8220;1.8
8280;1.2
8340;0
8400;2.4
8460;1.8
8520;0
8580;1.8
8640;1.2
8700;0
8760;3
8820;0.6
8880;0
8940;0
9000;0
9060;0
9120;0
9180;0
9240;0
9300;0
9360;0
9420;0
9480;1.8
9540;0
9600;0
9660;0
9720;0
9780;0
9840;0
9900;0
9960;2.4
10020;0
10080;0
10140;0
10200;0
10260;0
10320;0
10380;0
10440;0
10500;0
10560;0
10620;0
10680;0
10740;0
10800;0
10860;0
10920;0
10980;0
11040;0
11100;0
11160;0
11220;0
11280;0
11340;0
11400;0
11460;0
11520;0
11580;0
11640;0
11700;0
11760;0
11820;0
11880;0
11940;0
12000;0
12060;0
12120;0
12180;0
12240;0
12300;0
12360;0
12420;0
12480;0
12540;0
12600;0
12660;0
12720;0
12780;0
12840;0
12900;0
12960;0
13020;1.8
13080;0.6
13140;0
13200;0
13260;0
13320;0
13380;0
13440;0
13500;0
13560;0
13620;0
13680;1.8
13740;0
13800;0
13860;0
13920;0
13980;0
14040;2.4
14100;0.6
14160;0
14220;0
14280;0
14340;0
14400;2.4
14460;1.2
14520;0
14580;3
14640;3
14700;3
14760;3.6
14820;1.2
14880;0
14940;3.6
15000;0.6
15060;1.8
15120;1.2
15180;0
15240;1.8
15300;2.4
15360;1.2
15420;3
15480;3
15540;3
15600;3
15660;3
15720;3
15780;3
15840;3
15900;4.2
15960;3.6
16020;4.8
16080;4.2
16140;4.8
16200;6
16260;9.6
16320;12
16380;10.8
16440;6
16500;8.4
16560;4.8
16620;3.6
16680;3
16740;2.4
16800;0.6
16860;1.8
16920;1.2
16980;1.8
17040;2.4
17100;2.4
17160;3
17220;3
17280;4.8
17340;4.8
17400;4.2
17460;2.4
17520;3.6
17580;3.6
17640;3
17700;3.6
17760;3.6
17820;4.8
17880;9.6
17940;12
18000;10.8
18060;7.8
18120;4.8
18180;3.6
18240;3
18300;3
18360;5.4
18420;7.8
18480;7.2
18540;8.4
18600;4.8
18660;7.2
18720;3.6
18780;3.6
18840;2.4
18900;4.2
18960;6.6
19020;7.8
19080;9
19140;11.4
19200;6.6
19260;3
19320;3
19380;4.2
19440;4.2
19500;7.2
19560;10.2
19620;13.8
19680;6.6
19740;6
19800;4.2
19860;4.2
19920;5.4
19980;6
20040;7.8
20100;6.6
20160;6.6
20220;7.8
20280;9
20340;4.8
20400;4.2
20460;5.4
20520;3.6
20580;3.6
20640;7.8
20700;7.2
20760;12.6
20820;12
20880;9.6
20940;7.8
21000;9
21060;8.4
21120;12
21180;6.6
21240;7.2
21300;9
21360;6
21420;7.8
21480;9.6
21540;10.2
21600;7.2
21660;8.4
21720;9
21780;9
21840;6.6
21900;7.8
21960;7.8
22020;7.2
22080;7.2
22140;6.6
22200;4.8
22260;4.8
22320;4.2
22380;3.6
22440;5.4
22500;6
22560;7.2
22620;9.6
22680;6.6
22740;4.2
22800;4.2
22860;3
22920;4.2
22980;1.8
23040;3.6
23100;3
23160;5.4
23220;8.4
23280;15
23340;9
23400;10.2
23460;7.8
23520;7.8
23580;7.8
23640;7.2
23700;7.2
23760;3.6
23820;4.8
23880;3.6
23940;4.2
24000;4.8
24060;6.6
24120;7.2
24180;9
24240;6
24300;6.6
24360;2.4
24420;3
24480;3
24540;0.6
24600;2.4
24660;1.8
24720;3
24780;3.6
24840;3
24900;3.6
24960;5.4
25020;3.6
25080;4.8
25140;4.8
25200;3.6
25260;4.2
25320;4.2
25380;4.8
25440;3.6
25500;3.6
25560;3
25620;3.6
25680;3
25740;4.2
25800;3.6
25860;4.8
25920;4.2
25980;6
26040;4.2
26100;5.4
26160;7.2
26220;10.8
26280;13.8
26340;9
26400;6.6
26460;6
26520;6
26580;5.4
26640;3
26700;6
26760;6.6
26820;9.6
26880;6.6
26940;6.6
27000;6
27060;3.6
27120;2.4
27180;1.8
27240;2.4
27300;3.6
27360;1.8
27420;1.2
27480;1.8
27540;3.6
27600;3
27660;1.8
27720;3.6
27780;3.6
27840;3
27900;2.4
27960;3
28020;4.2
28080;3
28140;3.6
28200;3.6
28260;4.2
28320;3
28380;3
28440;3.6
28500;3
28560;3.6
28620;4.8
28680;4.2
28740;1.8
28800;5.4
28860;6
28920;9.6
28980;13.2
29040;9
29100;8.4
29160;4.8
29220;4.2
29280;3.6
29340;3.6
29400;1.8
29460;2.4
29520;2.4
29580;3
29640;2.4
29700;4.2
29760;5.4
29820;4.2
29880;6
29940;4.8
30000;5.4
30060;3.6
30120;4.2
30180;5.4
30240;3.6
30300;3.6
30360;3.6
30420;4.2
30480;4.8
30540;4.8
30600;3.6
30660;3
30720;1.8
30780;3.6
30840;2.4
30900;3
30960;3.6
31020;3.6
31080;3
31140;2.4
31200;3
31260;2.4
31320;4.2
31380;3
31440;3
31500;2.4
31560;3.6
31620;4.2
31680;3
31740;4.2
31800;2.4
31860;3
31920;3.6
31980;3.6
32040;3
32100;2.4
32160;3
32220;3
32280;3
32340;3
32400;2.4
32460;2.4
32520;2.4
32580;2.4
32640;2.4
32700;3
32760;3.6
32820;2.4
32880;1.8
32940;2.4
33000;3
33060;3
33120;4.8
33180;3.6
33240;4.2
33300;2.4
33360;3
33420;1.8
33480;1.8
33540;3
33600;1.8
33660;2.4
33720;3
33780;1.8
33840;4.2
33900;6
33960;4.2
34020;3
34080;3
34140;4.2
34200;6
34260;5.4
34320;3.6
34380;3.6
34440;5.4
34500;3.6
34560;3.6
34620;1.8
34680;2.4
34740;3
34800;3
34860;4.2
34920;4.2
34980;5.4
35040;4.8
35100;3
35160;2.4
35220;1.8
35280;1.8
35340;0.6
35400;0
35460;3
35520;1.2
35580;0
35640;0
35700;3.6
35760;0.6
35820;0
35880;2.4
35940;0.6
36000;0
36060;0
36120;2.4
36180;0.6
36240;0
